iter	Passed	Remaining
0	140	140077
1	141	70374
2	141	47119
3	142	35481
4	143	28502
5	143	23846
6	144	20519
7	145	18028
8	146	16087
9	146	14535
10	147	13265
11	148	12205
12	148	11311
13	149	10543
14	150	9878
15	151	9293
16	151	8775
17	152	8314
18	152	7898
19	153	7522
20	154	7181
21	154	6870
22	155	6587
23	155	6326
24	156	6087
25	156	5865
26	157	5660
27	157	5470
28	158	5293
29	158	5128
30	159	4973
31	159	4828
32	160	4692
33	160	4563
34	161	4443
35	161	4329
36	162	4221
37	162	4118
38	163	4021
39	163	3929
40	164	3841
41	164	3759
42	165	3679
43	165	3603
44	166	3531
45	166	3461
46	167	3395
47	167	3331
48	168	3270
49	169	3211
50	169	3155
51	170	3100
52	170	3048
53	171	2997
54	171	2948
55	172	2902
56	172	2857
57	173	2813
58	173	2771
59	174	2730
60	174	2691
61	175	2652
62	175	2615
63	176	2579
64	176	2545
65	177	2511
66	177	2478
67	178	2443
68	178	2412
69	179	2382
70	179	2353
71	180	2325
72	180	2297
73	181	2270
74	182	2245
75	182	2219
76	183	2194
77	183	2170
78	184	2146
79	184	2123
80	185	2100
81	185	2078
82	186	2057
83	186	2036
84	187	2013
85	187	1993
86	187	1972
87	188	1953
88	189	1935
89	189	1916
90	190	1898
91	190	1881
92	191	1864
93	191	1847
94	192	1830
95	192	1814
96	193	1798
97	193	1783
98	194	1768
99	194	1753
100	195	1739
101	195	1723
102	196	1709
103	196	1695
104	197	1681
105	197	1668
106	198	1655
107	198	1642
108	199	1629
109	199	1617
110	200	1605
111	200	1593
112	201	1581
113	202	1569
114	202	1558
115	202	1546
116	203	1535
117	204	1525
118	204	1513
119	205	1503
120	205	1493
121	206	1482
122	206	1471
123	206	1461
124	207	1451
125	207	1442
126	208	1433
127	208	1422
128	209	1413
129	209	1404
130	210	1396
131	210	1387
132	211	1378
133	211	1369
134	212	1361
135	213	1353
136	213	1345
137	214	1336
138	214	1329
139	215	1321
140	215	1313
141	216	1305
142	216	1298
143	217	1291
144	217	1283
145	218	1276
146	218	1269
147	219	1262
148	219	1255
149	220	1248
150	220	1241
151	221	1234
152	221	1228
153	222	1222
154	223	1215
155	223	1209
156	224	1203
157	224	1196
158	225	1190
159	225	1184
160	226	1178
161	226	1172
162	227	1166
163	227	1160
164	228	1155
165	228	1149
166	229	1143
167	229	1138
168	230	1132
169	230	1127
170	231	1121
171	231	1116
172	232	1111
173	232	1106
174	233	1100
175	234	1095
176	234	1090
177	235	1085
178	235	1080
179	236	1076
180	236	1070
181	237	1065
182	237	1061
183	238	1056
184	238	1051
185	239	1046
186	239	1042
187	240	1037
188	240	1032
189	241	1028
190	241	1024
191	242	1019
192	242	1015
193	243	1010
194	243	1006
195	244	1002
196	244	998
197	245	994
198	245	989
199	246	985
200	246	981
201	247	977
202	248	973
203	248	969
204	249	965
205	249	961
206	250	958
207	250	954
208	251	950
209	251	947
210	252	943
211	252	939
212	253	936
213	253	932
214	254	928
215	254	925
216	255	921
217	255	918
218	256	914
219	257	911
220	257	907
221	258	904
222	258	900
223	259	897
