iter	Passed	Remaining
0	141	141301
1	142	70940
2	142	47490
3	143	35768
4	144	28728
5	145	24113
6	146	20750
7	147	18267
8	148	16307
9	148	14736
10	149	13444
11	150	12370
12	151	11464
13	151	10689
14	157	10374
15	158	9760
16	159	9217
17	160	8729
18	160	8309
19	161	7935
20	162	7586
21	163	7267
22	164	6975
23	164	6708
24	165	6461
25	166	6231
26	166	6017
27	167	5821
28	168	5640
29	169	5466
30	169	5307
31	170	5156
32	171	5013
33	171	4877
34	172	4752
35	172	4632
36	173	4519
37	174	4411
38	174	4309
39	175	4219
40	176	4131
41	177	4047
42	178	3965
43	178	3886
44	179	3811
45	180	3737
46	180	3667
47	181	3608
48	182	3551
49	184	3496
50	185	3447
51	186	3392
52	186	3336
53	187	3283
54	188	3232
55	188	3182
56	189	3134
57	190	3087
58	190	3043
59	191	2999
60	192	2957
61	192	2916
62	193	2876
63	194	2837
64	194	2799
65	195	2763
66	195	2727
67	196	2693
68	197	2659
69	197	2627
70	198	2597
71	199	2567
72	199	2537
73	200	2508
74	201	2480
75	201	2451
76	202	2424
77	202	2399
78	203	2373
79	204	2347
80	204	2322
81	205	2299
82	205	2273
83	206	2251
84	207	2231
85	207	2210
86	208	2189
87	209	2172
88	210	2151
89	210	2131
90	211	2112
91	212	2092
92	212	2074
93	213	2056
94	214	2038
95	214	2021
96	215	2004
97	215	1987
98	216	1970
99	217	1954
100	217	1938
101	218	1923
102	219	1907
103	219	1892
104	220	1878
105	221	1863
106	221	1850
107	222	1836
108	223	1823
109	223	1810
110	224	1797
111	225	1784
112	225	1771
113	226	1758
114	226	1746
115	227	1735
116	228	1722
117	228	1711
118	229	1700
119	230	1689
120	231	1678
121	231	1666
122	232	1654
123	232	1644
124	233	1632
125	233	1622
126	234	1611
127	235	1601
128	235	1592
129	236	1583
130	237	1574
131	238	1565
132	238	1555
133	239	1546
134	239	1537
135	240	1528
136	241	1519
137	241	1509
138	242	1501
139	243	1493
140	243	1485
141	244	1475
142	244	1467
143	245	1459
144	246	1451
145	246	1443
146	247	1435
147	247	1427
148	248	1419
149	249	1412
150	250	1405
151	250	1399
152	251	1392
153	252	1385
154	252	1378
155	253	1371
156	254	1364
157	254	1357
158	255	1350
159	256	1344
160	256	1336
161	256	1329
162	257	1322
163	258	1316
164	258	1310
165	259	1304
166	260	1298
167	260	1292
168	261	1286
169	262	1280
170	262	1274
171	263	1268
172	264	1262
173	264	1257
174	265	1252
175	266	1247
176	267	1241
177	267	1236
178	268	1230
179	269	1225
180	269	1220
181	270	1215
182	270	1209
183	271	1204
184	272	1199
185	272	1194
186	273	1189
187	274	1184
188	274	1179
189	275	1174
190	276	1170
191	276	1165
192	277	1160
193	278	1155
194	278	1151
195	279	1147
196	280	1142
197	281	1138
198	281	1134
199	282	1130
200	283	1126
201	284	1122
202	284	1117
203	285	1113
204	285	1108
205	286	1104
206	287	1100
207	287	1095
208	288	1092
209	289	1088
210	290	1084
211	290	1080
212	291	1076
213	292	1072
214	292	1068
215	293	1064
216	294	1060
217	294	1057
218	295	1053
219	296	1049
220	296	1045
221	297	1042
222	298	1038
223	298	1034
224	299	1030
225	299	1027
226	300	1023
227	301	1020
228	302	1017
229	302	1013
230	303	1010
231	304	1007
232	304	1003
233	305	1000
234	306	996
235	307	994
236	308	992
237	308	988
238	309	985
239	310	982
240	310	979
241	311	975
242	312	972
243	312	969
244	313	966
245	314	963
246	314	959
247	315	956
248	316	953
249	316	950
250	317	947
251	318	944
252	319	942
253	319	939
254	320	937
255	321	934
256	322	931
257	322	928
258	323	926
259	324	923
260	325	920
261	325	918
262	326	915
263	327	913
264	328	910
265	329	907
266	329	905
267	330	902
268	331	899
269	331	897
270	332	895
271	333	892
272	334	890
273	335	887
274	335	885
275	336	882
276	337	880
277	338	878
278	338	876
279	339	873
280	340	871
281	341	868
282	341	866
283	342	863
284	343	860
285	343	858
286	344	855
287	345	853
288	345	850
289	346	848
290	347	846
291	347	843
292	348	841
293	349	838
294	349	836
295	350	834
296	351	832
297	352	829
298	352	827
299	353	825
300	354	823
301	355	820
302	355	818
303	356	816
304	357	814
305	358	812
306	359	810
307	359	808
308	360	806
309	361	804
310	362	802
311	362	799
312	363	797
313	364	795
314	364	793
315	365	791
316	366	789
317	366	786
318	367	784
319	368	782
320	368	779
321	369	777
322	370	775
323	370	773
324	371	771
325	372	769
326	372	767
327	373	765
328	374	763
329	374	760
330	375	758
331	376	757
332	376	755
333	377	753
334	378	750
335	378	748
336	379	746
337	380	744
338	380	742
339	381	740
340	382	738
341	383	736
342	383	735
343	384	733
344	385	731
345	385	729
346	386	727
347	387	726
348	388	724
349	389	722
350	389	720
351	390	718
352	391	716
353	391	714
354	392	713
355	393	711
356	393	709
357	394	707
358	395	705
359	395	703
360	396	701
361	397	700
362	397	698
363	398	696
364	399	694
365	400	693
366	401	691
367	401	689
368	402	688
369	403	686
370	403	684
371	404	682
372	404	680
373	405	678
374	406	677
375	407	675
376	407	674
377	408	672
378	409	670
379	410	669
380	410	667
381	411	665
382	412	664
383	413	662
384	414	661
385	414	659
386	416	659
387	416	657
388	417	656
389	418	654
390	419	653
391	420	652
392	421	650
393	421	648
394	422	647
395	423	645
396	423	643
397	424	641
398	425	640
399	425	638
400	426	637
401	427	635
402	427	633
403	428	632
404	429	630
405	429	628
406	430	627
407	430	625
408	432	624
409	432	622
410	433	621
411	434	619
412	434	617
413	435	616
414	436	614
415	436	613
416	437	611
417	438	610
418	439	608
419	439	607
420	440	605
421	441	604
422	441	602
423	442	601
424	443	599
425	443	598
426	444	596
427	445	595
428	445	593
429	446	592
430	447	590
431	448	589
432	448	587
433	449	586
434	450	584
435	450	583
436	451	581
437	451	579
438	452	578
439	453	576
440	453	575
441	454	573
442	455	572
443	455	570
444	456	569
445	457	567
446	457	566
447	458	564
448	459	563
449	459	561
450	460	560
451	461	559
452	461	557
453	462	556
454	463	555
455	464	554
456	465	552
457	466	551
458	466	550
459	467	549
460	468	547
461	469	546
462	470	545
463	470	543
464	471	542
465	472	541
466	472	539
467	473	538
468	474	536
469	474	535
470	475	534
471	476	532
